1,Tu savais que le climat c'est l’ensemble des éléments qui caractérisent l’état moyen de l’atmosphère sur une longue période (au moins trente ans) ?,Le climat est la distribution statistique des conditions de l'atmosphère terrestre dans une région donnée pendant une période donnée. L'étude du climat est la climatologie. Elle se distingue de la météorologie qui désigne l'étude du temps dans l’atmosphère à court terme et dans des zones ponctuelles,"https://reseauactionclimat.org/comprendre-urgence/ , Le système climatique"
2,"Le plan du GIEC, Éviter - Changer - Améliorer, est simple mais tres efficace. Grace a des action gourvernemental et structurel, une reduction de 40% a 70% d'ici les années 2050.","Le rapport du GIEC se base sur trois principaux axes : Éviter - Changer - Améliorer, qui pourrait permettre de réduire l’émission de gaz à effet de serre de 40% à 70% d'ici à 2050 (Priyadarshi Shukla, coprésident du groupe de travail III du GIEC). Cependant, ces actions ne sont pas individuelles, mais des changements politique et structurel.
(cf document de la sources)","https://reseauactionclimat.org/6e-rapport-du-giec-quelles-solutions-face-au-changement-climatique/ , La sobriété, une nécessité"
3,Savais-tu que tout ce que tu fais dans la vie à un impact sur le réchauffement climatique.,"le GIEC a évalué une augmentation de 1.1°C entre 2010 et 2020. Cette augmentation risque d’atteindre 1.5°C d’ici 2040 et jusqu’à 2°C d’ici 2050, si notre émission de gaz à effet de serre ne diminue pas. Si celle-ci baisse de façon importante elle pourrait rester inférieur à 2°C en 2050. Et pire si les émissions augmentent cela pourrait atteindre jusqu’à 5°C en 2100. En France le niveau de réchauffement climatique a atteint 1.9°C par rapport à la période de 1850-1900.","https://reseauactionclimat.org/comprendre-urgence/ ,Quelles températures pour les décennies à venir ?"
4,Les solutions sont la plantation d'arbre mais la plus grosse solution est l'auto atténuation des gaz a effet de serre ,"utre la réduction des émissions de gaz à effet de serre, l’autre versant de l’atténuation du changement climatique est l’élimination du carbone existant dans l’atmosphère. Ce procédé passe par la plantation d’arbres ou l’utilisation de technologies permettant la capture et le stockage du carbon","https://reseauactionclimat.org/6e-rapport-du-giec-quelles-solutions-face-au-changement-climatique/ , La sobriété, une nécessité"
5,Pour les 4 dernières decennies le rechauffement a atteint +1.1°C ce qui veut dire que si cela continue d'augmenter certaine zone ne seront plus habitable dans le futur ,"La GIEC a vu que pour chacune de quatre décennies a été plus chaude que la précédente. ils ont prélevé une augmentation de 1,1°C entre 850-1900 et 2010-2020","https://reseauactionclimat.org/comprendre-urgence/ , Températures : une augmentation inévitable et de plus en plus rapide"
6,As-tu été informé que l'écart de température entre les zones rurales et les grandes villes pouvait atteindre jusqu'à 12°C?,"on constate une augmentation de la température chaque année associée à des vagues de chaleur, où l’on peut remarquer un écart de +12°C entre les zones rurales et les grandes villes. Cette augmentation est associée à 35% des morts liés à la chaleur entre 1991 et 2018. ","https://reseauactionclimat.org/quels-sont-les-impacts-du-changement-climatique-en-france/ , Les vagues de chaleur"
7,"Le GIEC estime que le réchauffement de la planète atteindra 1,5 °C dès le début des années 2030.","le GIEC a évalué une augmentation de 1.1°C entre 2010 et 2020. Cette augmentation risque d’atteindre 1.5°C d’ici 2040 et jusqu’à 2°C d’ici 2050, si notre émission de gaz à effet de serre ne diminue pas. Si celle-ci baisse de façon importante elle pourrait rester inférieur à 2°C en 2050. Et pire si les émissions augmentent cela pourrait atteindre jusqu’à 5°C en 2100. En France le niveau de réchauffement climatique a atteint 1.9°C par rapport à la période de 1850-1900.","https://reseauactionclimat.org/comprendre-urgence/ ,Quelles températures pour les décennies à venir ?"
8,Une augmentation continue de l'emission des gaz à effet de serre provoquerait d'ici 210m une augmentation de +4°C voire de +5°C,"le GIEC a évalué une augmentation de 1.1°C entre 2010 et 2020. Cette augmentation risque d’atteindre 1.5°C d’ici 2040 et jusqu’à 2°C d’ici 2050, si notre émission de gaz à effet de serre ne diminue pas. Si celle-ci baisse de façon importante elle pourrait rester inférieur à 2°C en 2050. Et pire si les émissions augmentent cela pourrait atteindre jusqu’à 5°C en 2100. En France le niveau de réchauffement climatique a atteint 1.9°C par rapport à la période de 1850-1900.","https://reseauactionclimat.org/comprendre-urgence/  , Quelles températures pour les décennies à venir ?"
9,Étais-tu au courant que la solution était l'agroécologie dont la diversification des cultures et l’agriculture biologique,"Le rapport indique que les pratiques agroécologiques, telles que la diversification des cultures ou l’agriculture biologique, permettent non seulement d’atténuer le changement climatique mais aussi de s’adapter à ses conséquences. Elles offrent en effet de meilleurs rendements, une plus forte résilience aux événements extrêmes, renforcent la sécurité alimentaire et favorisent la biodiversité des cultures, animaux et paysages.","https://reseauactionclimat.org/6e-rapport-du-giec-quelles-sont-les-consequences-reelles-du-changement-climatique/ , Agriculture : pertes de récoltes et dégradation des sols"
10,"Est-ce que tu savais que les ressources les plus impactés par le changement climatique sont le mais, le soja, le riz et le blé?","Parmi les ressources les plus impactées par le changement climatique on retrouve le maïs, le soja, le riz et le blé, où l’on peut constater une perte de 9 à 10% de la production totale de céréales entre 1981 et 2010. ","https://reseauactionclimat.org/6e-rapport-du-giec-quelles-sont-les-consequences-reelles-du-changement-climatique/ , Agriculture : pertes de récoltes et dégradation des sols"
,"L'usage de la voiture en individuelle est tres mauvais pour le climat. En evitant de prendre la voiture seul, on peut retirer 2t de CO2 seelon les donnée d'avril 2022.","Éviter : 
1?? = La voiture Individuelle (-2t de CO2eq) 
2sd = L’avion (~1,6t CO2eq) 
3nd = Trajet domicile-Travail (-0,25t CO2eq) 
4? = Emballages (~ -0,125t CO2eq)","https://reseauactionclimat.org/6e-rapport-du-giec-quelles-solutions-face-au-changement-climatique/ , La sobriété, une nécessité"
,"L'usage de la voiture en individuelle est tres mauvais pour le climat. En evitant de prendre la voiture seul, on peut retirer 2t de CO2 seelon les donnée d'avril 2022.","Éviter : 
1?? = La voiture Individuelle (-2t de CO2eq) 
2sd = L’avion (~1,6t CO2eq) 
3nd = Trajet domicile-Travail (-0,25t CO2eq) 
4? = Emballages (~ -0,125t CO2eq)","https://reseauactionclimat.org/6e-rapport-du-giec-quelles-solutions-face-au-changement-climatique/ , La sobriété, une nécessité"
,"L'usage de la voiture en individuelle est tres mauvais pour le climat. En evitant de prendre la voiture seul, on peut retirer 2t de CO2 seelon les donnée d'avril 2022.","Éviter : 
1?? = La voiture Individuelle (-2t de CO2eq) 
2sd = L’avion (~1,6t CO2eq) 
3nd = Trajet domicile-Travail (-0,25t CO2eq) 
4? = Emballages (~ -0,125t CO2eq)","https://reseauactionclimat.org/6e-rapport-du-giec-quelles-solutions-face-au-changement-climatique/ , La sobriété, une nécessité"
